time,open,high,low,close,tick_volume,spread,real_volume
2020-11-16 04:00:00,1896.23,1898.91,1890.92,1891.85,15302,50,0
2020-11-16 08:00:00,1891.92,1895.06,1887.31,1894.13,17172,35,0
2020-11-16 12:00:00,1894.08,1894.24,1864.1,1885.94,28078,35,0
2020-11-16 16:00:00,1885.96,1895.9,1885.01,1889.27,22429,35,0
2020-11-16 20:00:00,1889.27,1889.79,1885.06,1888.62,9236,35,0
2020-11-17 00:00:00,1888.73,1891.37,1886.76,1888.53,11669,50,0
2020-11-17 04:00:00,1888.54,1892.29,1884.63,1886.67,12601,50,0
2020-11-17 08:00:00,1886.68,1892.61,1884.09,1890.07,16595,35,0
2020-11-17 12:00:00,1890.09,1893.36,1885.75,1891.03,17667,35,0
2020-11-17 16:00:00,1890.99,1892.26,1884.52,1886.77,24588,35,0
2020-11-17 20:00:00,1886.77,1887.8,1876.76,1880.02,11537,35,0
2020-11-18 00:00:00,1880.29,1883.06,1876.21,1878.7,12863,50,0
2020-11-18 04:00:00,1878.62,1881.23,1875.47,1879.51,13071,50,0
2020-11-18 08:00:00,1879.57,1884.51,1876.24,1879.26,15724,35,0
2020-11-18 12:00:00,1879.27,1879.78,1863.37,1875.75,22250,35,0
2020-11-18 16:00:00,1875.78,1884.7,1874.41,1875.09,23093,35,0
2020-11-18 20:00:00,1875.09,1875.99,1868.84,1871.84,16079,35,0
2020-11-19 00:00:00,1872.48,1873.83,1868.32,1870.1,14176,50,0
2020-11-19 04:00:00,1870.08,1871.48,1857.79,1862.22,18239,50,0
2020-11-19 08:00:00,1862.31,1865.42,1855.01,1861.3,21834,35,0
2020-11-19 12:00:00,1861.27,1864.86,1852.51,1860.49,22038,35,0
2020-11-19 16:00:00,1860.49,1863.72,1855.65,1862.73,24284,35,0
2020-11-19 20:00:00,1862.73,1867.56,1862.41,1866.76,7902,35,0
2020-11-20 00:00:00,1865.29,1867.45,1860.63,1864.75,13872,50,0
2020-11-20 04:00:00,1864.76,1869.03,1861.95,1868.77,15624,50,0
2020-11-20 08:00:00,1868.9,1869.61,1860.74,1866.87,18779,35,0
2020-11-20 12:00:00,1866.89,1868.51,1863.44,1867.31,9956,7,0
2020-11-20 16:00:00,1867.31,1879.64,1867.19,1872.18,14282,6,0
2020-11-20 20:00:00,1872.18,1874.58,1869.79,1870.8,5419,15,0
2020-11-23 00:00:00,1870.42,1875.68,1868.22,1872.88,4071,7,0
2020-11-23 04:00:00,1872.92,1874.68,1870.06,1873.58,4580,11,0
2020-11-23 08:00:00,1873.58,1875.86,1866.52,1868.84,7448,10,0
2020-11-23 12:00:00,1868.84,1869.72,1862.18,1866.97,12190,6,0
