time,open,high,low,close,tick_volume,spread,real_volume
2025-07-20 11:00:00,50534.98,50651.78,50208.44,50632.77,3596,536,0
2025-07-20 12:00:00,50644.78,50647.8,50255.7,50387.96,3600,537,0
2025-07-20 13:00:00,50394.85,50489.83,49814.36,49844.16,3598,532,0
2025-07-20 14:00:00,49842.34,50081.38,49460.89,50046.97,3597,528,0
2025-07-20 15:00:00,50056.12,50517.23,49966.64,50458.91,3600,533,0
2025-07-20 16:00:00,50458.72,50755.94,50383.15,50564.32,3598,538,0
2025-07-20 17:00:00,50564.89,50859.96,50437.65,50798.89,3599,539,0
2025-07-20 18:00:00,50797.99,51068.85,50580.37,51038.63,3598,540,0
2025-07-20 19:00:00,51030.0,51294.02,50732.15,50984.75,3599,542,0
2025-07-20 20:00:00,50986.77,51194.76,50667.45,50682.76,3598,541,0
2025-07-20 21:00:00,50688.17,51048.98,50566.4,50685.86,3600,540,0
2025-07-20 22:00:00,50687.71,50722.29,50042.28,50283.99,3599,534,0
2025-07-20 23:00:00,50282.17,50297.59,49404.65,49510.91,3597,527,0
2025-07-21 00:00:00,49517.78,49666.62,49300.55,49416.46,3599,526,0
2025-07-21 01:00:00,49412.44,49494.62,49252.61,49400.0,3599,526,0
2025-07-21 02:00:00,49400.37,49595.75,48864.63,48924.86,3600,522,0
2025-07-21 03:00:00,48926.24,48944.01,48417.37,48474.48,3598,517,0
2025-07-21 04:00:00,48461.61,48639.32,48047.82,48053.04,3598,513,0
2025-07-21 05:00:00,48060.17,48173.55,47784.27,47788.8,3598,510,0
2025-07-21 06:00:00,47786.44,48298.17,47723.98,48269.0,3593,509,0
2025-07-21 07:00:00,48270.77,48339.6,47763.03,48288.64,3597,510,0
2025-07-21 08:00:00,48296.97,48464.39,47948.71,47966.92,3599,512,0
2025-07-21 09:00:00,47975.52,48406.84,47918.79,48131.14,3597,512,0
2025-07-21 10:00:00,48140.31,48823.01,48117.59,48707.25,3600,514,0
2025-07-21 11:00:00,48713.75,48893.08,48393.12,48443.69,3600,517,0
2025-07-21 12:00:00,48447.53,48662.8,48227.59,48476.48,3597,515,0
2025-07-21 13:00:00,48473.75,48580.99,48184.52,48288.65,3598,514,0
2025-07-21 14:00:00,48283.22,48912.13,48252.34,48864.55,3600,515,0
2025-07-21 15:00:00,48859.54,48880.9,48331.54,48759.37,3600,516,0
2025-07-21 16:00:00,48750.52,48817.98,48228.31,48686.53,3597,515,0
2025-07-21 17:00:00,48688.6,49262.49,48677.88,49156.8,3597,520,0
2025-07-21 18:00:00,49159.58,49261.67,48464.25,48487.18,3590,517,0
2025-07-21 19:00:00,48488.92,48632.41,48244.68,48512.7,3598,515,0
2025-07-21 20:00:00,48507.16,48691.18,48269.51,48557.0,3597,515,0
2025-07-21 21:00:00,48555.61,48824.0,48212.13,48792.37,3597,515,0
2025-07-21 22:00:00,48789.86,48922.65,48532.28,48535.96,3596,518,0
2025-07-21 23:00:00,48536.72,49378.65,48503.75,49328.76,3598,518,0
2025-07-22 00:00:00,49333.15,49376.99,48905.86,49101.42,3598,522,0
2025-07-22 01:00:00,49094.24,49168.9,48688.27,48874.64,3599,520,0
2025-07-22 02:00:00,48868.59,48976.2,48636.33,48639.65,3597,519,0
2025-07-22 03:00:00,48638.35,48680.06,48006.83,48105.66,3598,513,0
2025-07-22 04:00:00,48114.08,48207.02,47811.76,48001.34,3595,511,0
2025-07-22 05:00:00,47989.08,48072.59,47695.64,47751.14,3595,509,0
2025-07-22 06:00:00,47756.56,48310.91,47651.3,48275.37,3596,509,0
2025-07-22 07:00:00,48284.23,48365.11,47976.55,48195.59,3598,512,0
2025-07-22 08:00:00,48191.88,48514.84,48117.78,48306.53,3599,514,0
2025-07-22 09:00:00,48300.95,48447.08,48020.03,48272.33,3599,513,0
2025-07-22 10:00:00,48277.8,48291.09,47825.31,47964.47,3597,511,0
2025-07-22 11:00:00,47965.8,48245.36,47815.49,47839.77,3600,510,0
